ID,transaction_count,credit_count,debit_count,net_count,debit_amount,credit_amount,amount_moved,CAT_Animais de estimação,CAT_Cabeleireiro e Barbeiro,CAT_Cafés e Pastelarias,CAT_Carro e Transportes,CAT_Casa,CAT_Combustível,CAT_Compras e Serviços,CAT_Diversos,CAT_Educação,CAT_Empréstimos e Rendas,CAT_Hobbies,CAT_Investimentos e Poupanças,CAT_Lazer e Viagens,CAT_Levantamentos,CAT_Não categorizadas,CAT_Ordenado e Subsídios,CAT_Outros Rendimentos,CAT_Restaurantes e Bares,CAT_Saúde e Bem estar,CAT_Seguros,CAT_Subscrições,CAT_Supermercado,CAT_Taxas e Impostos,CAT_Tecnologia,CAT_Telecomunicações,CAT_Vestuário e Calçado,"CAT_Água, luz e gás",target
1,197,20,177,-157,9134.6,12415.689999999999,21550.29,0,0,4,13,0,1,11,2,1,4,1,0,0,3,47,7,11,4,19,8,0,24,12,4,4,10,7,0
2,188,18,170,-152,7644.699999999999,4649.45,12294.150000000001,0,0,0,21,1,6,3,13,0,0,1,0,0,1,39,0,14,10,14,6,0,8,38,0,4,0,9,1
3,317,75,242,-167,38217.45,41217.530000000006,79434.98,0,0,0,10,0,4,13,12,0,0,3,12,2,12,60,4,86,42,21,5,0,6,12,0,4,3,6,0
4,384,27,357,-330,19961.62,72310.60999999999,92272.23000000001,0,1,0,23,6,2,2,17,0,2,0,2,2,30,143,4,12,16,6,14,0,41,39,0,11,3,8,0
5,592,219,373,-154,1245577.59,1285907.1400000001,2531484.73,0,0,0,20,3,0,6,26,1,8,0,10,2,0,112,7,205,20,12,0,0,30,50,1,13,6,60,1
7,367,24,343,-319,51826.09,52111.92,103938.01000000001,1,0,0,4,2,31,8,13,0,4,1,3,2,21,59,5,10,54,29,23,0,65,13,1,3,7,8,0
8,230,13,217,-204,15006.57,14038.65,29045.22,0,0,0,23,0,3,14,6,6,0,0,0,0,0,26,9,2,17,16,4,0,61,17,4,5,14,3,1
9,230,13,217,-204,15006.57,14038.65,29045.22,0,0,0,23,0,3,14,6,6,0,0,0,0,0,26,9,2,17,16,4,0,61,17,4,5,14,3,1
10,166,16,150,-134,7355.92,7755.58,15111.5,0,1,0,13,1,10,8,4,0,0,0,4,0,22,12,0,14,12,8,5,0,35,8,0,4,1,4,1
11,519,184,335,-151,359198.9600000001,337615.55,696814.51,0,0,0,12,0,8,4,75,0,5,0,2,0,0,130,4,175,0,0,16,0,5,40,0,28,0,15,0
12,128,5,123,-118,2013.1600000000003,3119.65,5132.8099999999995,0,0,2,1,0,6,1,0,0,4,0,0,0,2,2,4,1,2,4,12,0,67,7,0,7,0,6,1
13,173,29,144,-115,27884.51,28422.39,56306.899999999994,0,0,1,14,0,10,3,1,0,0,0,0,0,1,35,4,20,6,14,3,0,42,9,0,9,1,0,0
14,347,78,269,-191,33148.36,33353.409999999996,66501.76999999999,0,0,1,38,2,11,2,26,0,0,0,0,1,34,97,3,53,3,18,4,0,7,29,0,12,1,5,0
15,192,27,165,-138,16235.019999999999,15920.34,32155.36,0,0,0,3,4,10,8,17,0,0,0,5,0,14,46,4,15,10,2,13,0,12,20,0,4,1,4,0
16,289,17,272,-255,48153.47,240411.38,288564.85,0,0,6,20,0,8,3,61,0,4,0,4,0,5,47,4,8,34,22,8,0,15,22,0,5,5,8,0
17,212,15,197,-182,13717.380000000001,11481.3,25198.680000000004,1,0,0,13,0,1,10,17,0,0,1,0,0,14,6,4,10,31,16,5,0,64,8,0,5,2,4,0
18,290,54,236,-182,108188.85999999999,143741.87999999998,251930.74,0,0,0,17,0,0,6,10,0,0,0,2,0,4,148,0,52,1,11,5,0,3,13,1,5,2,10,0
19,329,95,234,-139,156877.63999999998,145113.06,301990.7,0,1,0,1,14,0,40,19,0,4,0,0,0,7,83,11,23,12,10,13,0,27,33,3,9,8,11,1
21,311,20,291,-271,52506.97,53166.84,105673.81,2,0,0,14,0,6,15,16,2,0,0,3,0,19,42,0,18,51,8,5,0,44,45,1,7,4,9,0
22,162,7,155,-148,13546.38,14340.480000000001,27886.86,1,0,0,13,7,7,2,23,5,12,0,0,1,4,21,4,3,6,6,1,0,7,29,0,1,0,9,0
23,386,52,334,-282,13829.0,14286.35,28115.35,0,0,0,27,8,11,14,5,0,4,0,3,1,15,64,4,38,19,9,3,0,106,27,0,16,4,8,1
24,967,224,743,-519,16759970.89,16788692.79,33548663.68,2,0,0,38,3,19,9,62,0,0,0,4,2,21,327,16,212,25,19,0,0,31,121,1,3,17,35,1
25,265,25,240,-215,26865.519999999997,25904.13,52769.65,0,0,0,5,2,11,5,4,0,4,0,8,0,24,24,8,11,14,10,8,0,78,21,5,13,2,8,0
26,31,10,21,-11,7871.33,4362.2,12233.529999999999,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,0,6,0,0,0,0,0,6,0,0,0,0,0
27,109,5,104,-99,2919.64,3514.31,6433.950000000001,0,0,0,1,0,20,18,2,0,0,0,0,0,17,4,4,0,0,7,1,0,17,9,0,6,0,3,1
28,307,24,283,-259,24450.86,20220.0,44670.86,0,0,0,6,0,1,27,8,8,0,0,4,0,32,58,5,17,41,6,2,0,24,52,1,5,6,4,0
29,476,69,407,-338,798061.99,268800.18,1066862.1700000002,4,1,0,0,0,2,6,26,0,12,0,5,1,2,132,13,62,14,25,11,0,28,129,0,0,1,2,0
30,1021,111,910,-799,72178.29999999999,46546.95999999999,118725.25999999998,0,0,0,20,1,31,35,26,1,0,1,5,9,17,357,8,87,146,21,20,4,157,44,1,8,8,14,0
31,228,78,150,-72,719801.4299999999,315647.83999999997,1035449.27,0,0,0,26,0,9,9,4,1,0,1,4,1,3,22,5,71,4,4,0,0,18,25,2,5,13,1,1
32,932,263,669,-406,35344.17,41255.19,76599.36,0,0,2,18,2,25,33,23,0,0,2,0,6,20,308,8,147,89,23,5,0,22,152,2,18,10,17,0
33,424,43,381,-338,311629.99,233055.22999999998,544685.22,0,0,18,104,0,19,11,29,0,5,0,0,12,3,62,0,41,59,0,6,0,18,9,2,10,0,16,1
34,455,51,404,-353,35265.86,32926.01,68191.87,0,0,2,9,2,24,21,7,4,4,0,8,8,69,80,8,27,9,36,7,0,56,23,4,8,29,10,0
35,862,475,387,88,2568842.2099999995,2762773.57,5331615.779999999,3,0,0,0,8,12,18,12,0,17,0,0,0,29,73,13,442,6,7,39,0,64,87,0,14,3,15,1
37,172,12,160,-148,71138.92,41327.13,112466.04999999999,1,2,0,9,1,13,7,1,0,0,0,0,0,11,12,0,11,2,8,2,0,58,16,2,4,4,8,1
38,50,8,42,-34,3789.46,4364.54,8154.000000000001,1,0,0,1,1,6,9,1,0,0,0,0,0,5,5,4,0,0,1,0,0,4,4,1,7,0,0,1
39,243,24,219,-195,14209.560000000001,11899.699999999999,26109.26,0,0,0,12,1,6,9,6,0,8,0,1,2,18,21,12,4,2,15,27,0,57,21,0,5,7,9,0
