ID,DATA,MONTANTE,CAT_Animais de estimação,CAT_Cabeleireiro e Barbeiro,CAT_Cafés e Pastelarias,CAT_Carro e Transportes,CAT_Casa,CAT_Combustível,CAT_Compras e Serviços,CAT_Diversos,CAT_Educação,CAT_Empréstimos e Rendas,CAT_Hobbies,CAT_Investimentos e Poupanças,CAT_Lazer e Viagens,CAT_Levantamentos,CAT_Não categorizadas,CAT_Ordenado e Subsídios,CAT_Outros Rendimentos,CAT_Restaurantes e Bares,CAT_Saúde e Bem estar,CAT_Seguros,CAT_Subscrições,CAT_Supermercado,CAT_Taxas e Impostos,CAT_Tecnologia,CAT_Telecomunicações,CAT_Vestuário e Calçado,"CAT_Água, luz e gás",target
1,2022-01-02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-09,-528.1599999999999,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,1,0,0,1,0,1,3,0,1,1,0,0
1,2022-01-16,-139.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2022-01-23,-186.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,2,1,0
1,2022-01-30,3459.5499999999997,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,3,0,0,1,0,0,0,1,0,0
1,2022-02-06,-1311.68,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,2,2,0,1,0,0,0
1,2022-02-13,-211.9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,0,0,0
1,2022-02-20,-157.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,2,0,0
1,2022-02-27,795.2900000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,2,0,1,0,0,2,0
1,2022-03-06,253.11000000000007,0,0,0,2,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,1,0,2,2,0,0,0,0,0
1,2022-03-13,-227.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,3,1,0,1,0,0,0
1,2022-03-20,-295.65,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0
1,2022-03-27,-102.89000000000001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,2,0
1,2022-04-03,2990.85,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0
1,2022-04-10,-1440.85,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1,1,3,0,0,5,3,0,1,0,0,0
1,2022-04-17,-248.26000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2,0,0
1,2022-04-24,872.14,0,0,0,1,0,0,2,0,0,0,1,0,0,0,4,1,1,0,1,0,0,1,0,1,0,0,2,0
1,2022-05-01,-239.60000000000002,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0
2,2022-01-02,-75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2022-01-09,-1158.39,0,0,0,1,0,2,0,3,0,0,0,0,0,1,6,0,0,4,2,1,0,1,4,0,1,0,1,1
2,2022-01-16,-295.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2,2022-01-23,-105.71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,2022-01-30,1665.2899999999997,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,1,0,1,1,0,0,5,0,0,0,0,1
2,2022-02-06,-1036.59,0,0,0,1,0,1,0,3,0,0,0,0,0,0,3,0,1,2,1,2,0,0,4,0,1,0,1,1
2,2022-02-13,-305.84,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,2,5,0,0,0,0,1
2,2022-02-20,-1135.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,1,1
2,2022-02-27,-393.47,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,4,0,0,0,0,1
2,2022-03-06,-85.09000000000005,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,1,0,0,2,0,0,0,1,1
2,2022-03-13,-131.37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,4,0,1,0,0,1
2,2022-03-20,-86.68,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2022-03-27,-205.45000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1
2,2022-04-03,93.08,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,1,1
2,2022-04-10,-50.269999999999996,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1
2,2022-04-17,115.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
2,2022-04-24,-87.49,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,1,1,2,0,0,1,0,0,0,0,1,1
2,2022-05-01,283.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,1,1
3,2022-01-02,-15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022-01-09,-672.38,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,0,6,0,3,0,0,1,2,0,0,0,0,0
3,2022-01-16,-241.67999999999998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,1,0,0,0
3,2022-01-23,2231.9900000000002,0,0,0,0,0,2,0,1,0,0,2,2,0,0,5,1,6,9,1,1,0,0,0,0,0,0,1,0
3,2022-01-30,-474.81,0,0,0,0,0,0,1,4,0,0,0,0,0,2,4,0,7,1,1,0,0,0,0,0,0,1,0,0
